article,article_link,title
,https://economictimes.indiatimes.com/markets/stocks/news/leel-electricals-ilampfs-transportation-among-top-losers-on-bse/articleshow/67750416.cms,"Leel Electricals, IL&FS Transportation among top losers on BSE"
,https://economictimes.indiatimes.com/markets/stocks/news/market-could-be-disrupted-if-ilfs-spvs-dont-pay-up/articleshow/67565900.cms,Market could be disrupted if IL&FS’ SPVs don’t pay up
,https://economictimes.indiatimes.com/markets/stocks/news/market-movers-mays-waterloo-on-brexit-indias-exports-worry-ilfs-hit-for-pfs/articleshow/67550285.cms,"Market Movers: May’s Waterloo on Brexit, India’s exports worry & IL&FS hit for PFs"
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-transportation-drops-5-on-defaulting-on-ncd-interest-payments/articleshow/67319491.cms,Il&FS Transportation drops 5% on defaulting on NCD interest payments
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-group-stocks-rally-up-to-8-on-fund-raising-plans/articleshow/67139501.cms,IL&FS group stocks rally up to 8% on fund raising plans
,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-the-news-infibeam-avenues-tata-motors-ilfs-and-sbi-life/articleshow/67138141.cms,"Stocks in the news: Infibeam Avenues, Tata Motors, IL&FS group stocks and SBI Life"
,https://economictimes.indiatimes.com/industry/indl-goods/svs/construction/board-starts-sale-process-of-ilfs-stakes-in-road-assets/articleshow/67137515.cms,Board starts sale process of IL&FS’ stakes in road assets
,https://economictimes.indiatimes.com/markets/stocks/news/board-starts-sale-process-of-ilfs-stakes-in-road-assets/articleshow/67139601.cms,Board starts sale process of IL&FS’ stakes in road assets
,https://economictimes.indiatimes.com/industry/indl-goods/svs/construction/ilfs-puts-22-road-assets-on-block/articleshow/67131183.cms,IL&FS puts 22 road assets on block
,https://economictimes.indiatimes.com/industry/banking/finance/ethiopian-police-take-3-ilfs-officials-into-custody-over-unpaid-wages-issue/articleshow/66940242.cms,Ethiopian police take 3 IL&FS officials into custody over unpaid wages issue
,https://economictimes.indiatimes.com/markets/stocks/news/share-market-update-around-60-stocks-hit-52week-lows-on-nse/articleshow/66915769.cms,Share market update: Around 60 stocks hit 52-week lows on NSE
,https://economictimes.indiatimes.com/markets/stocks/news/share-market-update-over-60-stocks-hit-52-week-lows-on-nse/articleshow/66878180.cms,Share market update: Over 60 stocks hit 52-week lows on NSE
,https://economictimes.indiatimes.com/markets/stocks/news/share-market-update-over-80-stocks-hit-52week-lows-on-nse/articleshow/66861512.cms,Share market update: Over 80 stocks hit 52-week lows on NSE
,https://economictimes.indiatimes.com/markets/stocks/news/share-market-update-over-60-stocks-hit-52-week-lows-on-nse/articleshow/66841919.cms,Share market update: Over 60 stocks hit 52-week lows on NSE
,https://economictimes.indiatimes.com/industry/banking/finance/banking/ilfs-transportation-defaults-on-interest-payment-of-2-ncds/articleshow/66813460.cms,IL&FS Transportation defaults on interest payment of 2 NCDs
,https://economictimes.indiatimes.com/markets/stocks/news/stock-market-update-over-180-stocks-hit-52-week-lows-on-bse/articleshow/66327727.cms,Over 180 stocks hit 52-week lows on BSE
,https://economictimes.indiatimes.com/markets/stocks/news/share-market-update-over-120-stocks-touch-52-week-lows-on-bse/articleshow/66312468.cms,Share market update: Over 120 stocks touch 52-week lows on BSE
,https://economictimes.indiatimes.com/industry/banking/finance/ilfs-transportation-vineet-nayyar-rajan-not-yet-appointed-on-board/articleshow/66277039.cms,"IL&FS Transportation: Vineet Nayyar, Rajan not yet appointed on board"
,https://economictimes.indiatimes.com/industry/banking/finance/canadas-omers-infrastructure-joins-race-for-ilfs-road-assets/articleshow/66266942.cms,Canada’s OMERS Infrastructure joins race for IL&FS road assets
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-new-board-initiates-austerity-measures/articleshow/66184414.cms,IL&FS' new board initiates austerity measures
,https://economictimes.indiatimes.com/markets/stocks/news/share-market-update-check-out-the-stocks-that-cracked-over-10-on-nse/articleshow/66115165.cms,Check out the stocks that cracked over 10% on NSE
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-may-sell-rights-to-operate-toll-roads-to-nhai/articleshow/66063793.cms,IL&FS may sell rights to operate toll roads to NHAI
,https://economictimes.indiatimes.com/markets/stocks/news/share-market-update-bse-smallcap-index-outperforms-sensex-climbs-over-1/articleshow/66052318.cms,"Share market update: BSE Smallcap index outperforms Sensex, climbs over 1%"
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-fix-lenders-mfs-may-face-lower-hit-but-troubles-not-over-yet/articleshow/66036866.cms,"IL&FS fix: Lenders, MFs may face lower hit, but troubles not over yet"
,https://economictimes.indiatimes.com/markets/stocks/news/yes-ilfs-is-bad-news-but-not-in-the-way-you-think/articleshow/65958396.cms,"Yes, IL&FS is bad news but not in the way you think"
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-group-stocks-back-in-the-green-jump-up-to-12/articleshow/65950834.cms,"IL&FS group stocks back in the green, jump up to 12%"
,https://economictimes.indiatimes.com/markets/stocks/news/stock-market-update-these-stocks-defy-bearish-mood-of-market-jump-over-12/articleshow/65929677.cms,"Stock market update: These stocks defy bearish mood of market, jump over 12%"
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-group-companies-hit-52-week-lows/articleshow/65810546.cms,IL&FS group companies hit 52-week lows
,https://economictimes.indiatimes.com/markets/stocks/news/share-market-update-over-50-stocks-defy-positive-market-mood-hit-52-week-lows-on-nse/articleshow/65807009.cms,"Share market update: Over 50 stocks defy positive market mood, hit 52-week lows on NSE"
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-group-shares-hit-lower-circuits-after-ed-raids/articleshow/68077103.cms,IL&FS group shares hit lower circuits after ED raids
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-group-stocks-rally-up-to-8-on-fund-raising-plans/articleshow/67139501.cms,IL&FS group stocks rally up to 8% on fund raising plans
,https://economictimes.indiatimes.com/markets/stocks/news/top-losers-of-mondays-morning-session/articleshow/66916331.cms,Top losers of Monday's morning session
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-new-board-initiates-austerity-measures/articleshow/66184414.cms,IL&FS' new board initiates austerity measures
,https://economictimes.indiatimes.com/markets/stocks/news/stock-market-update-10-stocks-that-plunged-most-on-bse-in-a-positive-market/articleshow/66144711.cms,10 stocks that plunged most on BSE in a positive market
,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/ilfs-may-win-orr-metro-bid-on-good-show/articleshow/66064487.cms,IL&FS arm may win Bengaluru's ORR metro bid on good show
,https://economictimes.indiatimes.com/markets/stocks/news/share-market-update-bse-smallcap-index-outperforms-sensex-climbs-over-1/articleshow/66052318.cms,"Share market update: BSE Smallcap index outperforms Sensex, climbs over 1%"
,https://economictimes.indiatimes.com/markets/stocks/news/ircon-international-jsw-steel-dhfl-and-ilfs-financial-among-stocks-in-the-news/articleshow/65988173.cms,"Ircon International, JSW Steel, DHFL and IL&FS group stocks in the news"
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-group-stocks-back-in-the-green-jump-up-to-12/articleshow/65950834.cms,"IL&FS group stocks back in the green, jump up to 12%"
,https://economictimes.indiatimes.com/markets/stocks/news/market-goes-into-a-tailspin-heres-what-basant-maheshwari-and-madhu-kela-advise/articleshow/65899714.cms,Market goes into a tailspin: Here’s what Basant Maheshwari and Madhu Kela advise
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-group-companies-hit-52-week-lows/articleshow/65810546.cms,IL&FS group companies hit 52-week lows
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-group-shares-crash-up-to-16-as-icra-assigns-junk-rating-to-parent/articleshow/65750558.cms,IL&FS Group shares crash up to 16% as ICRA assigns junk rating to parent
,https://economictimes.indiatimes.com/industry/indl-goods/svs/construction/ilfs-engineering-and-construction-company-lowest-bidder-for-7-km-line/articleshow/64942176.cms,IL&FS Engineering and Construction Company lowest bidder for 7-km line
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-engineering-jumps-4-as-sat-quashes-sebis-order/articleshow/64777714.cms,IL&FS Engineering jumps 4% as SAT quashes Sebi's order
,https://economictimes.indiatimes.com/industry/transportation/railways/page-2-metro-delay-ilfs-gets-june-deadline/articleshow/62331351.cms,Bengaluru Metro delay: IL&FS Engineering and Construction Company gets June deadline
,https://economictimes.indiatimes.com/markets/stocks/news/after-hours-sail-shines-on-brokerage-upgrade-india-vix-sees-9-spike/articleshow/61881194.cms,After Hours: SAIL shines on brokerage upgrade; India Vix sees 9% spike
,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/ilfs-engineering-construction-bags-rs-582-crore-project-in-maharashtra/articleshow/61876033.cms,IL&FS Engineering & Construction bags Rs 582 crore project in Maharashtra
,https://economictimes.indiatimes.com/markets/stocks/news/check-out-the-stocks-that-cracked-over-10-today/articleshow/61626929.cms,Check out the stocks that cracked over 10% today
,https://economictimes.indiatimes.com/markets/stocks/news/market-now-bse-smallcap-index-outperforms-sensex/articleshow/61625611.cms,Market Now: BSE Smallcap index outperforms Sensex
,https://economictimes.indiatimes.com/markets/stocks/news/sensex-nifty-fall-most-in-6-weeks-as-oil-rally-stokes-inflation-fears/articleshow/61545967.cms,"Sensex, Nifty fall most in 6 weeks as oil rally stokes inflation fears"
,https://economictimes.indiatimes.com/markets/stocks/news/market-now-these-stocks-cracked-10-on-nse/articleshow/61543224.cms,Market Now: These stocks cracked 10% on NSE
,https://economictimes.indiatimes.com/markets/stocks/news/over-100-spike-in-delivery-volume-hints-at-bullish-trend-in-these-counters/articleshow/61525671.cms,Over 100% spike in delivery volume hints at bullish trend in these counters
,https://economictimes.indiatimes.com/industry/transportation/railways/south-may-get-metro-extension-first-west-enters-slow-lane/articleshow/61097548.cms,South may get Metro extension first; west enters slow lane
,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/ilfs-engineering-services-bags-jobs-worth-rs-236-76-crore-in-jharkhand/articleshow/59460144.cms,IL&FS Engineering Services bags jobs worth Rs 236.76 crore in Jharkhand
,https://economictimes.indiatimes.com/markets/stocks/news/-nhai-dues-wont-hamper-simplex-infra-pnc-ncc/articleshow/59119044.cms,"​ NHAI dues won't hamper Simplex Infra, PNC & NCC"
,https://economictimes.indiatimes.com/markets/stocks/news/punj-lloyd-jumps-over-5-post-q4-numbers/articleshow/58890965.cms,Punj Lloyd jumps over 5% post Q4 numbers
,https://economictimes.indiatimes.com/industry/indl-goods/svs/construction/ilfs-bags-rs-1100-crore-road-contract-in-laos/articleshow/58626940.cms,IL&FS bags Rs 1100 crore road contract in Laos
,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/ilfs-engineering-services-gets-rs-222-7-crore-order-for-rural-electrification-jobs-in-jharkhand/articleshow/57735773.cms,IL&FS Engineering Services gets Rs 222.7 crore order for rural electrification jobs in Jharkhand
,https://economictimes.indiatimes.com/markets/stocks/news/etmarkets-evening-podcast-what-changed-your-financial-fortunes-all-through-the-day/articleshow/57252631.cms,ETMarkets Evening Podcast: What changed your financial fortunes all through the day
,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/ilfs-engineering-bags-rs-123-cr-orders-from-gail/articleshow/57181604.cms,IL&FS Engineering bags Rs 123 cr orders from GAIL
,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/ilfs-engineering-bags-rs-515-crore-orders/articleshow/56938629.cms,IL&FS Engineering bags Rs 515-crore orders
,https://economictimes.indiatimes.com/markets/stocks/news/mapping-the-market-psu-banks-extend-post-budget-rally-smallcaps-outperform/articleshow/56934925.cms,"Mapping the market: PSU banks extend post-Budget rally, smallcaps outperform"
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-engineering-surges-10-on-bagging-orders-worth-rs-515-47-crore/articleshow/56931472.cms,IL&FS Engineering surges 10% on bagging orders worth Rs 515.47 crore
,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/ilfs-engineering-lowest-bidder-for-rs-225-crore-order/articleshow/55898652.cms,IL&FS Engineering lowest bidder for Rs 225-crore order
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-engg-climbs-over-4-after-emerging-as-lowest-bidder-for-power-development-works/articleshow/55804905.cms,IL&FS Engg climbs over 4% after emerging as lowest bidder for power development works
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-engineering-defaults-on-bond-payments/articleshow/55285422.cms,IL&FS Engineering defaults on bond payments
,https://economictimes.indiatimes.com/markets/stocks/news/nineteen-stocks-in-focus-on-thursday-03-november-2016/articleshow/55216892.cms,"Nineteen stocks in focus on Thursday, 03 November 2016"
,https://economictimes.indiatimes.com/markets/stocks/news/whats-buzzing-on-breakfast-tables-before-opening-bell/articleshow/55197480.cms,What's buzzing on breakfast tables before Opening Bell
,https://economictimes.indiatimes.com/industry/indl-goods/svs/construction/ilfs-engineering-bags-rs-675-crore-road-project-in-bihar/articleshow/53489078.cms,IL&FS Engineering bags Rs 675 crore road project in Bihar
,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/il-fs-engineering-bags-rs-532-crore-project-from-nmrc/articleshow/53415349.cms,IL & FS Engineering bags Rs 532 crore project from NMRC
